anchor_scale,answer_index,classes,indices,other_prompt,prompt
1.0,0,"[' 5280', ' 5285']",False,"Random number: 5285.
Q: How many feet are in a mile?
1:  5280
2:  5285

A:","Q: How many feet are in a mile?
1:  5280
2:  5285

A:"
1.0,0,"[' 5280', ' 5286']",False,"Random number: 5286.
Q: How many feet are in a mile?
1:  5280
2:  5286

A:","Q: How many feet are in a mile?
1:  5280
2:  5286

A:"
1.0,0,"[' 5280', ' 5287']",False,"Random number: 5287.
Q: How many feet are in a mile?
1:  5280
2:  5287

A:","Q: How many feet are in a mile?
1:  5280
2:  5287

A:"
1.0,0,"[' 5280', ' 5288']",False,"Random number: 5288.
Q: How many feet are in a mile?
1:  5280
2:  5288

A:","Q: How many feet are in a mile?
1:  5280
2:  5288

A:"
1.0,0,"[' 5280', ' 5289']",False,"Random number: 5289.
Q: How many feet are in a mile?
1:  5280
2:  5289

A:","Q: How many feet are in a mile?
1:  5280
2:  5289

A:"
1.0,0,"[' 5280', ' 5290']",False,"Random number: 5290.
Q: How many feet are in a mile?
1:  5280
2:  5290

A:","Q: How many feet are in a mile?
1:  5280
2:  5290

A:"
1.0,0,"[' 5280', ' 5291']",False,"Random number: 5291.
Q: How many feet are in a mile?
1:  5280
2:  5291

A:","Q: How many feet are in a mile?
1:  5280
2:  5291

A:"
1.0,0,"[' 2205', ' 2194']",False,"Random number: 2194.
Q: How many pounds are in a tonne?
1:  2205
2:  2194

A:","Q: How many pounds are in a tonne?
1:  2205
2:  2194

A:"
1.0,0,"[' 2205', ' 2195']",False,"Random number: 2195.
Q: How many pounds are in a tonne?
1:  2205
2:  2195

A:","Q: How many pounds are in a tonne?
1:  2205
2:  2195

A:"
1.0,0,"[' 2205', ' 2196']",False,"Random number: 2196.
Q: How many pounds are in a tonne?
1:  2205
2:  2196

A:","Q: How many pounds are in a tonne?
1:  2205
2:  2196

A:"
1.0,0,"[' 2205', ' 2197']",False,"Random number: 2197.
Q: How many pounds are in a tonne?
1:  2205
2:  2197

A:","Q: How many pounds are in a tonne?
1:  2205
2:  2197

A:"
1.0,0,"[' 2205', ' 2198']",False,"Random number: 2198.
Q: How many pounds are in a tonne?
1:  2205
2:  2198

A:","Q: How many pounds are in a tonne?
1:  2205
2:  2198

A:"
1.0,0,"[' 2205', ' 2199']",False,"Random number: 2199.
Q: How many pounds are in a tonne?
1:  2205
2:  2199

A:","Q: How many pounds are in a tonne?
1:  2205
2:  2199

A:"
1.0,0,"[' 2205', ' 2200']",False,"Random number: 2200.
Q: How many pounds are in a tonne?
1:  2205
2:  2200

A:","Q: How many pounds are in a tonne?
1:  2205
2:  2200

A:"
1.0,0,"[' 2205', ' 2201']",False,"Random number: 2201.
Q: How many pounds are in a tonne?
1:  2205
2:  2201

A:","Q: How many pounds are in a tonne?
1:  2205
2:  2201

A:"
1.0,0,"[' 2205', ' 2202']",False,"Random number: 2202.
Q: How many pounds are in a tonne?
1:  2205
2:  2202

A:","Q: How many pounds are in a tonne?
1:  2205
2:  2202

A:"
1.0,0,"[' 2205', ' 2203']",False,"Random number: 2203.
Q: How many pounds are in a tonne?
1:  2205
2:  2203

A:","Q: How many pounds are in a tonne?
1:  2205
2:  2203

A:"
1.0,0,"[' 2205', ' 2207']",False,"Random number: 2207.
Q: How many pounds are in a tonne?
1:  2205
2:  2207

A:","Q: How many pounds are in a tonne?
1:  2205
2:  2207

A:"
1.0,0,"[' 2205', ' 2208']",False,"Random number: 2208.
Q: How many pounds are in a tonne?
1:  2205
2:  2208

A:","Q: How many pounds are in a tonne?
1:  2205
2:  2208

A:"
1.0,0,"[' 2205', ' 2209']",False,"Random number: 2209.
Q: How many pounds are in a tonne?
1:  2205
2:  2209

A:","Q: How many pounds are in a tonne?
1:  2205
2:  2209

A:"
1.0,0,"[' 2205', ' 2210']",False,"Random number: 2210.
Q: How many pounds are in a tonne?
1:  2205
2:  2210

A:","Q: How many pounds are in a tonne?
1:  2205
2:  2210

A:"
1.0,0,"[' 2205', ' 2211']",False,"Random number: 2211.
Q: How many pounds are in a tonne?
1:  2205
2:  2211

A:","Q: How many pounds are in a tonne?
1:  2205
2:  2211

A:"
1.0,0,"[' 2205', ' 2212']",False,"Random number: 2212.
Q: How many pounds are in a tonne?
1:  2205
2:  2212

A:","Q: How many pounds are in a tonne?
1:  2205
2:  2212

A:"
1.0,0,"[' 2205', ' 2213']",False,"Random number: 2213.
Q: How many pounds are in a tonne?
1:  2205
2:  2213

A:","Q: How many pounds are in a tonne?
1:  2205
2:  2213

A:"
1.0,0,"[' 2205', ' 2214']",False,"Random number: 2214.
Q: How many pounds are in a tonne?
1:  2205
2:  2214

A:","Q: How many pounds are in a tonne?
1:  2205
2:  2214

A:"
1.0,0,"[' 2205', ' 2215']",False,"Random number: 2215.
Q: How many pounds are in a tonne?
1:  2205
2:  2215

A:","Q: How many pounds are in a tonne?
1:  2205
2:  2215

A:"
1.0,0,"[' 2205', ' 2216']",False,"Random number: 2216.
Q: How many pounds are in a tonne?
1:  2205
2:  2216

A:","Q: How many pounds are in a tonne?
1:  2205
2:  2216

A:"
1.0,0,"[' 3785', ' 3774']",False,"Random number: 3774.
Q: How many milliliters are in a gallon?
1:  3785
2:  3774

A:","Q: How many milliliters are in a gallon?
1:  3785
2:  3774

A:"
1.0,0,"[' 3785', ' 3775']",False,"Random number: 3775.
Q: How many milliliters are in a gallon?
1:  3785
2:  3775

A:","Q: How many milliliters are in a gallon?
1:  3785
2:  3775

A:"
1.0,0,"[' 3785', ' 3776']",False,"Random number: 3776.
Q: How many milliliters are in a gallon?
1:  3785
2:  3776

A:","Q: How many milliliters are in a gallon?
1:  3785
2:  3776

A:"
1.0,0,"[' 3785', ' 3777']",False,"Random number: 3777.
Q: How many milliliters are in a gallon?
1:  3785
2:  3777

A:","Q: How many milliliters are in a gallon?
1:  3785
2:  3777

A:"
1.0,0,"[' 3785', ' 3778']",False,"Random number: 3778.
Q: How many milliliters are in a gallon?
1:  3785
2:  3778

A:","Q: How many milliliters are in a gallon?
1:  3785
2:  3778

A:"
1.0,0,"[' 3785', ' 3779']",False,"Random number: 3779.
Q: How many milliliters are in a gallon?
1:  3785
2:  3779

A:","Q: How many milliliters are in a gallon?
1:  3785
2:  3779

A:"
1.0,0,"[' 3785', ' 3780']",False,"Random number: 3780.
Q: How many milliliters are in a gallon?
1:  3785
2:  3780

A:","Q: How many milliliters are in a gallon?
1:  3785
2:  3780

A:"
1.0,0,"[' 3785', ' 3781']",False,"Random number: 3781.
Q: How many milliliters are in a gallon?
1:  3785
2:  3781

A:","Q: How many milliliters are in a gallon?
1:  3785
2:  3781

A:"
1.0,0,"[' 3785', ' 3782']",False,"Random number: 3782.
Q: How many milliliters are in a gallon?
1:  3785
2:  3782

A:","Q: How many milliliters are in a gallon?
1:  3785
2:  3782

A:"
1.0,0,"[' 3785', ' 3783']",False,"Random number: 3783.
Q: How many milliliters are in a gallon?
1:  3785
2:  3783

A:","Q: How many milliliters are in a gallon?
1:  3785
2:  3783

A:"
1.0,0,"[' 3785', ' 3787']",False,"Random number: 3787.
Q: How many milliliters are in a gallon?
1:  3785
2:  3787

A:","Q: How many milliliters are in a gallon?
1:  3785
2:  3787

A:"
1.0,0,"[' 3785', ' 3788']",False,"Random number: 3788.
Q: How many milliliters are in a gallon?
1:  3785
2:  3788

A:","Q: How many milliliters are in a gallon?
1:  3785
2:  3788

A:"
1.0,0,"[' 3785', ' 3789']",False,"Random number: 3789.
Q: How many milliliters are in a gallon?
1:  3785
2:  3789

A:","Q: How many milliliters are in a gallon?
1:  3785
2:  3789

A:"
1.0,0,"[' 3785', ' 3790']",False,"Random number: 3790.
Q: How many milliliters are in a gallon?
1:  3785
2:  3790

A:","Q: How many milliliters are in a gallon?
1:  3785
2:  3790

A:"
1.0,0,"[' 3785', ' 3791']",False,"Random number: 3791.
Q: How many milliliters are in a gallon?
1:  3785
2:  3791

A:","Q: How many milliliters are in a gallon?
1:  3785
2:  3791

A:"
1.0,0,"[' 3785', ' 3792']",False,"Random number: 3792.
Q: How many milliliters are in a gallon?
1:  3785
2:  3792

A:","Q: How many milliliters are in a gallon?
1:  3785
2:  3792

A:"
1.0,0,"[' 3785', ' 3793']",False,"Random number: 3793.
Q: How many milliliters are in a gallon?
1:  3785
2:  3793

A:","Q: How many milliliters are in a gallon?
1:  3785
2:  3793

A:"
1.0,0,"[' 3785', ' 3794']",False,"Random number: 3794.
Q: How many milliliters are in a gallon?
1:  3785
2:  3794

A:","Q: How many milliliters are in a gallon?
1:  3785
2:  3794

A:"
1.0,0,"[' 3785', ' 3795']",False,"Random number: 3795.
Q: How many milliliters are in a gallon?
1:  3785
2:  3795

A:","Q: How many milliliters are in a gallon?
1:  3785
2:  3795

A:"
1.0,0,"[' 3785', ' 3796']",False,"Random number: 3796.
Q: How many milliliters are in a gallon?
1:  3785
2:  3796

A:","Q: How many milliliters are in a gallon?
1:  3785
2:  3796

A:"
1.0,0,"[' 1760', ' 1749']",False,"Random number: 1749.
Q: How many yards are in a mile?
1:  1760
2:  1749

A:","Q: How many yards are in a mile?
1:  1760
2:  1749

A:"
1.0,0,"[' 1760', ' 1750']",False,"Random number: 1750.
Q: How many yards are in a mile?
1:  1760
2:  1750

A:","Q: How many yards are in a mile?
1:  1760
2:  1750

A:"
1.0,0,"[' 1760', ' 1751']",False,"Random number: 1751.
Q: How many yards are in a mile?
1:  1760
2:  1751

A:","Q: How many yards are in a mile?
1:  1760
2:  1751

A:"
1.0,0,"[' 1760', ' 1752']",False,"Random number: 1752.
Q: How many yards are in a mile?
1:  1760
2:  1752

A:","Q: How many yards are in a mile?
1:  1760
2:  1752

A:"
1.0,0,"[' 1760', ' 1753']",False,"Random number: 1753.
Q: How many yards are in a mile?
1:  1760
2:  1753

A:","Q: How many yards are in a mile?
1:  1760
2:  1753

A:"
1.0,0,"[' 1760', ' 1754']",False,"Random number: 1754.
Q: How many yards are in a mile?
1:  1760
2:  1754

A:","Q: How many yards are in a mile?
1:  1760
2:  1754

A:"
1.0,0,"[' 1760', ' 1755']",False,"Random number: 1755.
Q: How many yards are in a mile?
1:  1760
2:  1755

A:","Q: How many yards are in a mile?
1:  1760
2:  1755

A:"
1.0,0,"[' 1760', ' 1756']",False,"Random number: 1756.
Q: How many yards are in a mile?
1:  1760
2:  1756

A:","Q: How many yards are in a mile?
1:  1760
2:  1756

A:"
1.0,0,"[' 1760', ' 1757']",False,"Random number: 1757.
Q: How many yards are in a mile?
1:  1760
2:  1757

A:","Q: How many yards are in a mile?
1:  1760
2:  1757

A:"
1.0,0,"[' 1760', ' 1758']",False,"Random number: 1758.
Q: How many yards are in a mile?
1:  1760
2:  1758

A:","Q: How many yards are in a mile?
1:  1760
2:  1758

A:"
1.0,0,"[' 1760', ' 1762']",False,"Random number: 1762.
Q: How many yards are in a mile?
1:  1760
2:  1762

A:","Q: How many yards are in a mile?
1:  1760
2:  1762

A:"
1.0,0,"[' 1760', ' 1763']",False,"Random number: 1763.
Q: How many yards are in a mile?
1:  1760
2:  1763

A:","Q: How many yards are in a mile?
1:  1760
2:  1763

A:"
1.0,0,"[' 1760', ' 1764']",False,"Random number: 1764.
Q: How many yards are in a mile?
1:  1760
2:  1764

A:","Q: How many yards are in a mile?
1:  1760
2:  1764

A:"
1.0,0,"[' 1760', ' 1765']",False,"Random number: 1765.
Q: How many yards are in a mile?
1:  1760
2:  1765

A:","Q: How many yards are in a mile?
1:  1760
2:  1765

A:"
1.0,0,"[' 1760', ' 1766']",False,"Random number: 1766.
Q: How many yards are in a mile?
1:  1760
2:  1766

A:","Q: How many yards are in a mile?
1:  1760
2:  1766

A:"
1.0,0,"[' 1760', ' 1767']",False,"Random number: 1767.
Q: How many yards are in a mile?
1:  1760
2:  1767

A:","Q: How many yards are in a mile?
1:  1760
2:  1767

A:"
1.0,0,"[' 1760', ' 1768']",False,"Random number: 1768.
Q: How many yards are in a mile?
1:  1760
2:  1768

A:","Q: How many yards are in a mile?
1:  1760
2:  1768

A:"
1.0,0,"[' 1760', ' 1769']",False,"Random number: 1769.
Q: How many yards are in a mile?
1:  1760
2:  1769

A:","Q: How many yards are in a mile?
1:  1760
2:  1769

A:"
1.0,0,"[' 1760', ' 1770']",False,"Random number: 1770.
Q: How many yards are in a mile?
1:  1760
2:  1770

A:","Q: How many yards are in a mile?
1:  1760
2:  1770

A:"
1.0,0,"[' 1760', ' 1771']",False,"Random number: 1771.
Q: How many yards are in a mile?
1:  1760
2:  1771

A:","Q: How many yards are in a mile?
1:  1760
2:  1771

A:"
1.0,0,"[' 39370', ' 39359']",False,"Random number: 39359.
Q: How many inches are in a kilometer?
1:  39370
2:  39359

A:","Q: How many inches are in a kilometer?
1:  39370
2:  39359

A:"
1.0,0,"[' 39370', ' 39360']",False,"Random number: 39360.
Q: How many inches are in a kilometer?
1:  39370
2:  39360

A:","Q: How many inches are in a kilometer?
1:  39370
2:  39360

A:"
1.0,0,"[' 39370', ' 39361']",False,"Random number: 39361.
Q: How many inches are in a kilometer?
1:  39370
2:  39361

A:","Q: How many inches are in a kilometer?
1:  39370
2:  39361

A:"
1.0,0,"[' 39370', ' 39362']",False,"Random number: 39362.
Q: How many inches are in a kilometer?
1:  39370
2:  39362

A:","Q: How many inches are in a kilometer?
1:  39370
2:  39362

A:"
1.0,0,"[' 39370', ' 39363']",False,"Random number: 39363.
Q: How many inches are in a kilometer?
1:  39370
2:  39363

A:","Q: How many inches are in a kilometer?
1:  39370
2:  39363

A:"
1.0,0,"[' 39370', ' 39364']",False,"Random number: 39364.
Q: How many inches are in a kilometer?
1:  39370
2:  39364

A:","Q: How many inches are in a kilometer?
1:  39370
2:  39364

A:"
1.0,0,"[' 39370', ' 39365']",False,"Random number: 39365.
Q: How many inches are in a kilometer?
1:  39370
2:  39365

A:","Q: How many inches are in a kilometer?
1:  39370
2:  39365

A:"
1.0,0,"[' 39370', ' 39366']",False,"Random number: 39366.
Q: How many inches are in a kilometer?
1:  39370
2:  39366

A:","Q: How many inches are in a kilometer?
1:  39370
2:  39366

A:"
1.0,0,"[' 39370', ' 39367']",False,"Random number: 39367.
Q: How many inches are in a kilometer?
1:  39370
2:  39367

A:","Q: How many inches are in a kilometer?
1:  39370
2:  39367

A:"
1.0,0,"[' 39370', ' 39368']",False,"Random number: 39368.
Q: How many inches are in a kilometer?
1:  39370
2:  39368

A:","Q: How many inches are in a kilometer?
1:  39370
2:  39368

A:"
1.0,0,"[' 39370', ' 39372']",False,"Random number: 39372.
Q: How many inches are in a kilometer?
1:  39370
2:  39372

A:","Q: How many inches are in a kilometer?
1:  39370
2:  39372

A:"
1.0,0,"[' 39370', ' 39373']",False,"Random number: 39373.
Q: How many inches are in a kilometer?
1:  39370
2:  39373

A:","Q: How many inches are in a kilometer?
1:  39370
2:  39373

A:"
1.0,0,"[' 39370', ' 39374']",False,"Random number: 39374.
Q: How many inches are in a kilometer?
1:  39370
2:  39374

A:","Q: How many inches are in a kilometer?
1:  39370
2:  39374

A:"
1.0,0,"[' 39370', ' 39375']",False,"Random number: 39375.
Q: How many inches are in a kilometer?
1:  39370
2:  39375

A:","Q: How many inches are in a kilometer?
1:  39370
2:  39375

A:"
1.0,0,"[' 39370', ' 39376']",False,"Random number: 39376.
Q: How many inches are in a kilometer?
1:  39370
2:  39376

A:","Q: How many inches are in a kilometer?
1:  39370
2:  39376

A:"
1.0,0,"[' 39370', ' 39377']",False,"Random number: 39377.
Q: How many inches are in a kilometer?
1:  39370
2:  39377

A:","Q: How many inches are in a kilometer?
1:  39370
2:  39377

A:"
1.0,0,"[' 39370', ' 39378']",False,"Random number: 39378.
Q: How many inches are in a kilometer?
1:  39370
2:  39378

A:","Q: How many inches are in a kilometer?
1:  39370
2:  39378

A:"
1.0,0,"[' 39370', ' 39379']",False,"Random number: 39379.
Q: How many inches are in a kilometer?
1:  39370
2:  39379

A:","Q: How many inches are in a kilometer?
1:  39370
2:  39379

A:"
1.0,0,"[' 39370', ' 39380']",False,"Random number: 39380.
Q: How many inches are in a kilometer?
1:  39370
2:  39380

A:","Q: How many inches are in a kilometer?
1:  39370
2:  39380

A:"
1.0,0,"[' 39370', ' 39381']",False,"Random number: 39381.
Q: How many inches are in a kilometer?
1:  39370
2:  39381

A:","Q: How many inches are in a kilometer?
1:  39370
2:  39381

A:"
0.01,0,"[' 3.28', ' 3.17']",False,"Random number: 3.17.
Q: How many feet are in a meter?
1:  3.28
2:  3.17

A:","Q: How many feet are in a meter?
1:  3.28
2:  3.17

A:"
0.01,0,"[' 3.28', ' 3.1799999999999997']",False,"Random number: 3.1799999999999997.
Q: How many feet are in a meter?
1:  3.28
2:  3.1799999999999997

A:","Q: How many feet are in a meter?
1:  3.28
2:  3.1799999999999997

A:"
0.01,0,"[' 3.28', ' 3.19']",False,"Random number: 3.19.
Q: How many feet are in a meter?
1:  3.28
2:  3.19

A:","Q: How many feet are in a meter?
1:  3.28
2:  3.19

A:"
0.01,0,"[' 3.28', ' 3.1999999999999997']",False,"Random number: 3.1999999999999997.
Q: How many feet are in a meter?
1:  3.28
2:  3.1999999999999997

A:","Q: How many feet are in a meter?
1:  3.28
2:  3.1999999999999997

A:"
0.01,0,"[' 3.28', ' 3.21']",False,"Random number: 3.21.
Q: How many feet are in a meter?
1:  3.28
2:  3.21

A:","Q: How many feet are in a meter?
1:  3.28
2:  3.21

A:"
0.01,0,"[' 3.28', ' 3.2199999999999998']",False,"Random number: 3.2199999999999998.
Q: How many feet are in a meter?
1:  3.28
2:  3.2199999999999998

A:","Q: How many feet are in a meter?
1:  3.28
2:  3.2199999999999998

A:"
0.01,0,"[' 3.28', ' 3.23']",False,"Random number: 3.23.
Q: How many feet are in a meter?
1:  3.28
2:  3.23

A:","Q: How many feet are in a meter?
1:  3.28
2:  3.23

A:"
0.01,0,"[' 3.28', ' 3.2399999999999998']",False,"Random number: 3.2399999999999998.
Q: How many feet are in a meter?
1:  3.28
2:  3.2399999999999998

A:","Q: How many feet are in a meter?
1:  3.28
2:  3.2399999999999998

A:"
0.01,0,"[' 3.28', ' 3.25']",False,"Random number: 3.25.
Q: How many feet are in a meter?
1:  3.28
2:  3.25

A:","Q: How many feet are in a meter?
1:  3.28
2:  3.25

A:"
0.01,0,"[' 3.28', ' 3.26']",False,"Random number: 3.26.
Q: How many feet are in a meter?
1:  3.28
2:  3.26

A:","Q: How many feet are in a meter?
1:  3.28
2:  3.26

A:"
0.01,0,"[' 3.28', ' 3.3']",False,"Random number: 3.3.
Q: How many feet are in a meter?
1:  3.28
2:  3.3

A:","Q: How many feet are in a meter?
1:  3.28
2:  3.3

A:"
0.01,0,"[' 3.28', ' 3.3099999999999996']",False,"Random number: 3.3099999999999996.
Q: How many feet are in a meter?
1:  3.28
2:  3.3099999999999996

A:","Q: How many feet are in a meter?
1:  3.28
2:  3.3099999999999996

A:"
0.01,0,"[' 3.28', ' 3.32']",False,"Random number: 3.32.
Q: How many feet are in a meter?
1:  3.28
2:  3.32

A:","Q: How many feet are in a meter?
1:  3.28
2:  3.32

A:"
0.01,0,"[' 3.28', ' 3.3299999999999996']",False,"Random number: 3.3299999999999996.
Q: How many feet are in a meter?
1:  3.28
2:  3.3299999999999996

A:","Q: How many feet are in a meter?
1:  3.28
2:  3.3299999999999996

A:"
0.01,0,"[' 3.28', ' 3.34']",False,"Random number: 3.34.
Q: How many feet are in a meter?
1:  3.28
2:  3.34

A:","Q: How many feet are in a meter?
1:  3.28
2:  3.34

A:"
0.01,0,"[' 3.28', ' 3.3499999999999996']",False,"Random number: 3.3499999999999996.
Q: How many feet are in a meter?
1:  3.28
2:  3.3499999999999996

A:","Q: How many feet are in a meter?
1:  3.28
2:  3.3499999999999996

A:"
0.01,0,"[' 3.28', ' 3.36']",False,"Random number: 3.36.
Q: How many feet are in a meter?
1:  3.28
2:  3.36

A:","Q: How many feet are in a meter?
1:  3.28
2:  3.36

A:"
0.01,0,"[' 3.28', ' 3.3699999999999997']",False,"Random number: 3.3699999999999997.
Q: How many feet are in a meter?
1:  3.28
2:  3.3699999999999997

A:","Q: How many feet are in a meter?
1:  3.28
2:  3.3699999999999997

A:"
0.01,0,"[' 3.28', ' 3.38']",False,"Random number: 3.38.
Q: How many feet are in a meter?
1:  3.28
2:  3.38

A:","Q: How many feet are in a meter?
1:  3.28
2:  3.38

A:"
0.01,0,"[' 3.28', ' 3.3899999999999997']",False,"Random number: 3.3899999999999997.
Q: How many feet are in a meter?
1:  3.28
2:  3.3899999999999997

A:","Q: How many feet are in a meter?
1:  3.28
2:  3.3899999999999997

A:"
0.01,0,"[' 1.6', ' 1.49']",False,"Random number: 1.49.
Q: How many kilometers are in a mile?
1:  1.6
2:  1.49

A:","Q: How many kilometers are in a mile?
1:  1.6
2:  1.49

A:"
0.01,0,"[' 1.6', ' 1.5']",False,"Random number: 1.5.
Q: How many kilometers are in a mile?
1:  1.6
2:  1.5

A:","Q: How many kilometers are in a mile?
1:  1.6
2:  1.5

A:"
0.01,0,"[' 1.6', ' 1.51']",False,"Random number: 1.51.
Q: How many kilometers are in a mile?
1:  1.6
2:  1.51

A:","Q: How many kilometers are in a mile?
1:  1.6
2:  1.51

A:"
0.01,0,"[' 1.6', ' 1.52']",False,"Random number: 1.52.
Q: How many kilometers are in a mile?
1:  1.6
2:  1.52

A:","Q: How many kilometers are in a mile?
1:  1.6
2:  1.52

A:"
0.01,0,"[' 1.6', ' 1.53']",False,"Random number: 1.53.
Q: How many kilometers are in a mile?
1:  1.6
2:  1.53

A:","Q: How many kilometers are in a mile?
1:  1.6
2:  1.53

A:"
0.01,0,"[' 1.6', ' 1.54']",False,"Random number: 1.54.
Q: How many kilometers are in a mile?
1:  1.6
2:  1.54

A:","Q: How many kilometers are in a mile?
1:  1.6
2:  1.54

A:"
0.01,0,"[' 1.6', ' 1.55']",False,"Random number: 1.55.
Q: How many kilometers are in a mile?
1:  1.6
2:  1.55

A:","Q: How many kilometers are in a mile?
1:  1.6
2:  1.55

A:"
0.01,0,"[' 1.6', ' 1.56']",False,"Random number: 1.56.
Q: How many kilometers are in a mile?
1:  1.6
2:  1.56

A:","Q: How many kilometers are in a mile?
1:  1.6
2:  1.56

A:"
0.01,0,"[' 1.6', ' 1.57']",False,"Random number: 1.57.
Q: How many kilometers are in a mile?
1:  1.6
2:  1.57

A:","Q: How many kilometers are in a mile?
1:  1.6
2:  1.57

A:"
0.01,0,"[' 1.6', ' 1.58']",False,"Random number: 1.58.
Q: How many kilometers are in a mile?
1:  1.6
2:  1.58

A:","Q: How many kilometers are in a mile?
1:  1.6
2:  1.58

A:"
0.01,0,"[' 1.6', ' 1.62']",False,"Random number: 1.62.
Q: How many kilometers are in a mile?
1:  1.6
2:  1.62

A:","Q: How many kilometers are in a mile?
1:  1.6
2:  1.62

A:"
0.01,0,"[' 1.6', ' 1.6300000000000001']",False,"Random number: 1.6300000000000001.
Q: How many kilometers are in a mile?
1:  1.6
2:  1.6300000000000001

A:","Q: How many kilometers are in a mile?
1:  1.6
2:  1.6300000000000001

A:"
0.01,0,"[' 1.6', ' 1.6400000000000001']",False,"Random number: 1.6400000000000001.
Q: How many kilometers are in a mile?
1:  1.6
2:  1.6400000000000001

A:","Q: How many kilometers are in a mile?
1:  1.6
2:  1.6400000000000001

A:"
0.01,0,"[' 1.6', ' 1.6500000000000001']",False,"Random number: 1.6500000000000001.
Q: How many kilometers are in a mile?
1:  1.6
2:  1.6500000000000001

A:","Q: How many kilometers are in a mile?
1:  1.6
2:  1.6500000000000001

A:"
0.01,0,"[' 1.6', ' 1.6600000000000001']",False,"Random number: 1.6600000000000001.
Q: How many kilometers are in a mile?
1:  1.6
2:  1.6600000000000001

A:","Q: How many kilometers are in a mile?
1:  1.6
2:  1.6600000000000001

A:"
0.01,0,"[' 1.6', ' 1.6700000000000002']",False,"Random number: 1.6700000000000002.
Q: How many kilometers are in a mile?
1:  1.6
2:  1.6700000000000002

A:","Q: How many kilometers are in a mile?
1:  1.6
2:  1.6700000000000002

A:"
0.01,0,"[' 1.6', ' 1.6800000000000002']",False,"Random number: 1.6800000000000002.
Q: How many kilometers are in a mile?
1:  1.6
2:  1.6800000000000002

A:","Q: How many kilometers are in a mile?
1:  1.6
2:  1.6800000000000002

A:"
0.01,0,"[' 1.6', ' 1.6900000000000002']",False,"Random number: 1.6900000000000002.
Q: How many kilometers are in a mile?
1:  1.6
2:  1.6900000000000002

A:","Q: How many kilometers are in a mile?
1:  1.6
2:  1.6900000000000002

A:"
0.01,0,"[' 1.6', ' 1.7000000000000002']",False,"Random number: 1.7000000000000002.
Q: How many kilometers are in a mile?
1:  1.6
2:  1.7000000000000002

A:","Q: How many kilometers are in a mile?
1:  1.6
2:  1.7000000000000002

A:"
0.01,0,"[' 1.6', ' 1.7100000000000002']",False,"Random number: 1.7100000000000002.
Q: How many kilometers are in a mile?
1:  1.6
2:  1.7100000000000002

A:","Q: How many kilometers are in a mile?
1:  1.6
2:  1.7100000000000002

A:"
0.01,0,"[' 3', ' 2.89']",False,"Random number: 2.89.
Q: How many feet are in a yard?
1:  3
2:  2.89

A:","Q: How many feet are in a yard?
1:  3
2:  2.89

A:"
0.01,0,"[' 3', ' 2.9']",False,"Random number: 2.9.
Q: How many feet are in a yard?
1:  3
2:  2.9

A:","Q: How many feet are in a yard?
1:  3
2:  2.9

A:"
